# theta[deg]	neutral_n1	plasma_n1	neutral_n2	plasma_n2	neutral_n3	plasma_n3	neutral_n4	plasma_n4
1.02000000e+01	5.35130719e-01	2.04347324e-10	5.57934195e-01	4.18449109e-01	3.59848485e-01	4.04185583e-01	5.57934195e-01	4.45716014e-01
1.03000000e+01	5.34858388e-01	2.10503047e-10	5.61447237e-01	4.15997286e-01	3.58585859e-01	4.06599609e-01	5.61447237e-01	4.43595617e-01
1.04000000e+01	5.34586057e-01	2.16839920e-10	5.64983883e-01	4.13551660e-01	3.57323232e-01	4.09020169e-01	5.64983883e-01	4.41484805e-01
1.05000000e+01	5.34313725e-01	2.23363144e-10	5.68544239e-01	4.11112291e-01	3.56060606e-01	4.11447205e-01	5.68544239e-01	4.39383664e-01
1.06000000e+01	5.34041394e-01	2.30078061e-10	5.72128409e-01	4.08679238e-01	3.54797980e-01	4.13880657e-01	5.72128409e-01	4.37292281e-01
1.07000000e+01	5.33769063e-01	2.36990166e-10	5.75736500e-01	4.06252559e-01	3.53535354e-01	4.16320463e-01	5.75736500e-01	4.35210742e-01
1.08000000e+01	5.33496732e-01	2.44105106e-10	5.79368618e-01	4.03832313e-01	3.52272727e-01	4.18766563e-01	5.79368618e-01	4.33139133e-01
1.09000000e+01	5.33224401e-01	2.51428684e-10	5.83024870e-01	4.01418556e-01	3.51010101e-01	4.21218894e-01	5.83024870e-01	4.31077538e-01
1.10000000e+01	5.32952070e-01	2.58966867e-10	5.86705362e-01	3.99011344e-01	3.49747475e-01	4.23677394e-01	5.86705362e-01	4.29026041e-01
1.11000000e+01	5.32679739e-01	2.66725787e-10	5.90410202e-01	3.96610734e-01	3.48484848e-01	4.26141998e-01	5.90410202e-01	4.26984726e-01
1.12000000e+01	5.32407407e-01	2.74711746e-10	5.94139495e-01	3.94216779e-01	3.47222222e-01	4.28612643e-01	5.94139495e-01	4.24953676e-01
1.13000000e+01	5.32135076e-01	2.82931221e-10	5.97893351e-01	3.91829535e-01	3.45959596e-01	4.31089264e-01	5.97893351e-01	4.22932972e-01
1.14000000e+01	5.31862745e-01	2.91390870e-10	6.01671875e-01	3.89449054e-01	3.44696970e-01	4.33571796e-01	6.01671875e-01	4.20922698e-01
1.15000000e+01	5.31590414e-01	3.00097534e-10	6.05475177e-01	3.87075389e-01	3.43434343e-01	4.36060171e-01	6.05475177e-01	4.18922933e-01
1.16000000e+01	5.31318083e-01	3.09058246e-10	6.09303363e-01	3.84708592e-01	3.42171717e-01	4.38554323e-01	6.09303363e-01	4.16933759e-01
1.17000000e+01	5.31045752e-01	3.18280232e-10	6.13156544e-01	3.82348715e-01	3.40909091e-01	4.41054184e-01	6.13156544e-01	4.14955255e-01
1.18000000e+01	5.30773420e-01	3.27770918e-10	6.17034826e-01	3.79995807e-01	3.39646465e-01	4.43559687e-01	6.17034826e-01	4.12987501e-01
1.19000000e+01	5.30501089e-01	3.37537936e-10	6.20938319e-01	3.77649919e-01	3.38383838e-01	4.46070761e-01	6.20938319e-01	4.11030574e-01
1.20000000e+01	5.30228758e-01	3.47589128e-10	6.24867132e-01	3.75311099e-01	3.37121212e-01	4.48587337e-01	6.24867132e-01	4.09084554e-01
1.21000000e+01	5.29956427e-01	3.57932554e-10	6.28821374e-01	3.72979397e-01	3.35858586e-01	4.51109345e-01	6.28821374e-01	4.07149518e-01
1.22000000e+01	5.29684096e-01	3.68576496e-10	6.32801155e-01	3.70654859e-01	3.34595960e-01	4.53636713e-01	6.32801155e-01	4.05225542e-01
1.23000000e+01	5.29411765e-01	3.79529462e-10	6.36806584e-01	3.68337532e-01	3.33333333e-01	4.56169369e-01	6.36806584e-01	4.03312703e-01
1.24000000e+01	5.29139434e-01	3.90800197e-10	6.40837772e-01	3.66027463e-01	3.32070707e-01	4.58707242e-01	6.40837772e-01	4.01411077e-01
1.25000000e+01	5.28867102e-01	4.02397686e-10	6.44894828e-01	3.63724697e-01	3.30808081e-01	4.61250257e-01	6.44894828e-01	3.99520737e-01
1.26000000e+01	5.28594771e-01	4.14331161e-10	6.48977862e-01	3.61429279e-01	3.29545455e-01	4.63798341e-01	6.48977862e-01	3.97641760e-01
1.27000000e+01	5.28322440e-01	4.26610107e-10	6.53086987e-01	3.59141253e-01	3.28282828e-01	4.66351419e-01	6.53086987e-01	3.95774217e-01
1.28000000e+01	5.28050109e-01	4.39244271e-10	6.57222312e-01	3.56860662e-01	3.27020202e-01	4.68909417e-01	6.57222312e-01	3.93918184e-01
1.29000000e+01	5.27777778e-01	4.52243665e-10	6.61383948e-01	3.54587549e-01	3.25757576e-01	4.71472257e-01	6.61383948e-01	3.92073732e-01
1.30000000e+01	5.27505447e-01	4.65618577e-10	6.65572008e-01	3.52321955e-01	3.24494949e-01	4.74039864e-01	6.65572008e-01	3.90240933e-01
